SRR4343007	Pescadero	North
SRR4342987	Slide_Ranch	North
SRR4342986	Slide_Ranch	North
SRR4342988	Slide_Ranch	North
SRR4343078	Bird_Rock	South
SRR4343056	La_Jolla	South
SRR4343058	La_Jolla	South
SRR4343081	Bird_Rock	South
SRR4343032	Pigeon_Point	North
SRR4343040	Aliso_Beach	South
SRR4343028	Pigeon_Point	North
SRR4343011	Slide_Ranch	North
SRR4343006	Pescadero	North
SRR4343016	Pescadero	North
SRR4343073	Bird_Rock	South
SRR4343015	Pescadero	North
SRR4343036	Pigeon_Point	North
SRR4343037	Pigeon_Point	North
SRR4343054	Aliso_Beach	South
SRR4343065	La_Jolla	South
SRR4343000	Slide_Ranch	North
SRR4343023	Pigeon_Point	North
SRR4343039	Aliso_Beach	South
SRR4343079	Bird_Rock	South
SRR4343049	Aliso_Beach	South
SRR4343018	Pescadero	North
SRR4342989	Slide_Ranch	North
SRR4343084	Bird_Rock	South
SRR4343050	Aliso_Beach	South
SRR4343009	Pescadero	North
SRR4343075	Bird_Rock	South
SRR4343086	Bird_Rock	South
SRR4343071	La_Jolla	South
SRR4343062	La_Jolla	South
SRR4343059	La_Jolla	South
SRR4343047	Aliso_Beach	South
SRR4343042	Aliso_Beach	South
SRR4343066	Slide_Ranch	North
SRR4343063	La_Jolla	South
SRR4343021	Pescadero	North
SRR4343029	Pigeon_Point	North
SRR4343031	Pigeon_Point	North
SRR4343053	Aliso_Beach	South
SRR4343072	Bird_Rock	South
SRR4343060	La_Jolla	South
SRR4343033	Slide_Ranch	North
SRR4343026	Pigeon_Point	North
SRR4343022	Slide_Ranch	North
SRR4343030	Pigeon_Point	North
SRR4343044	Slide_Ranch	North
SRR4343046	Aliso_Beach	South
SRR4343055	Slide_Ranch	North
SRR4342990	Slide_Ranch	North
SRR4343012	Pescadero	North
SRR4343068	La_Jolla	South
SRR4343069	La_Jolla	South
SRR4343019	Pescadero	North
SRR4343034	Pigeon_Point	North
SRR4343077	Slide_Ranch	North
SRR4343057	La_Jolla	South
SRR4343048	Aliso_Beach	South
SRR4343014	Pescadero	North
SRR4343005	Slide_Ranch	North
SRR4343045	Aliso_Beach	South
SRR4343080	Bird_Rock	South
SRR4343085	Bird_Rock	South
SRR4343082	Bird_Rock	South
SRR4343017	Pescadero	North
SRR4343043	Aliso_Beach	South
SRR4343024	Pigeon_Point	North
SRR4343088	Slide_Ranch	North
SRR4343074	Bird_Rock	South
SRR4343067	La_Jolla	South
SRR4343041	Aliso_Beach	South
SRR4343025	Pigeon_Point	North
SRR4343008	Pescadero	North
SRR4343083	Bird_Rock	South
SRR4343064	La_Jolla	South
SRR4343051	Aliso_Beach	South
SRR4343038	Pigeon_Point	North
SRR4343052	Aliso_Beach	South
SRR4343061	La_Jolla	South
SRR4343076	Bird_Rock	South
SRR4343035	Pigeon_Point	North
SRR4343087	Bird_Rock	South
SRR4343010	Pescadero	North
SRR4343070	La_Jolla	South
SRR4343027	Pigeon_Point	North
SRR4343020	Pescadero	North
SRR4343013	Pescadero	North
